year,gdp_l,cpi_l,net_interest_income_l,non_interest_income_l,loan_leases_net_l,total_deposits_l
2014,15961.7,236.736,164385222.8,96296113.18,3181592045,4626808610
2013,15583.3,232.957,165158166.3,99570168.32,3058467192,4462812295
2012,15354.6,229.594,168991244.5,99177578.96,3005409227,4364698559
2011,15020.6,224.939,170959106.3,94720590.97,2909348121,4118039178
2010,14783.8,218.056,179931601.8,99383875.21,2925868182,3907078903
2009,14418.7,214.537,168734892.8,113140997.1,2929371297,3886737972
2008,14830.4,215.303,148562018.6,90148259.77,3103441812,3753894966
2007,14873.7,207.342,146233889.8,101757457.7,3152866437,3525506580
2006,14613.8,201.592,141314908.9,107820904.8,2933034253,3339131713
2005,14234.2,195.292,137223661.7,103821318.9,2720740454,3109776268
2004,13773.5,188.883,131834102.4,97763940.17,2558651116,2961179595
2003,13271.1,183.958,130421805.7,101527468.5,2365656711,2737061253
2002,12908.8,179.875,131447714.8,95696974.57,2267834331,2607281010
2001,12682.2,177.067,121139910.2,89701668.86,2152892569,2472265285
2000,12559.7,172.2,118225202.1,89574594.08,2178500196,2427158819
1999,12065.9,166.575,115236715,86991672.22,2059340337,2299900023
1998,11525.9,163.008,112267509.4,76177726.29,1950444018,2258406458
1997,11034.9,160.517,109005206.5,65067207.14,1818850814,2131656229
1996,10561,156.85,103958689.8,59635027.1,1760563463,2038341446
1995,10174.8,152.383,101347099.9,54093274.64,1675057307,1986815498
1994,9905.4,148.225,98950935.4,51461858.66,1556819694,1939240544
1993,9521,144.458,96499601.5,51889706.37,1452219870,1906660214
1992,9266.6,140.317,95147284.48,46786824.8,1409650592,1923279642
1991,8948.4,136.192,89514783.09,43863945.91,1466762690,1973442011
1990,8955,130.658,88416415.59,42017497.54,1572527183,2028305345
1989,8786.4,123.967,90532267.28,41071982.79,1616927684,2055798427
1988,8474.5,118.258,90690484.11,38012862.8,1594568824,2056290329
1987,8132.6,113.625,87909292.85,36506943.01,1565926649,2055406720
1986,7860.5,109.608,86613507.49,32731562.38,1576100009,2083351988
1985,7593.8,107.567,84503676.48,28869573.6,1494447579,1969093141
1984,7285,103.883,78230400.77,25521242.1,1434200799,1889557085
1983,6792,99.6,73633534.14,23362449.8,1306534137,1849902610
