year,gdp_g,cpi_g,net_income_g,net_interest_income_g,non_interest_income_g,loan_leases_net_g,total_deposits_g
2014,2.428240488,1.622222977,-3.624099003,-0.468001967,-3.288188818,4.025704565,3.674730273
2013,1.489455929,1.464832656,8.454582399,-2.268211128,0.395844872,1.76541564,2.247892614
2012,2.223612905,2.069337265,15.72824831,-1.151071651,4.705405598,3.30180861,5.989728843
2011,1.60175327,3.156841569,37.95191792,-4.986614608,-4.692194002,-0.564620841,5.399437287
2010,2.532128417,1.640043442,-756.3249821,6.635680869,-12.1592723,-0.119585902,0.523341988
2009,-2.776054591,-0.355546266,-176.3598092,13.57875617,25.50547,-5.608950501,3.538804531
2008,-0.291117879,3.839100297,-84.94110098,1.592058316,-11.40869497,-1.567609199,6.478172173
2007,1.77845598,2.852672482,-25.99323642,3.480864788,-5.623628441,7.495043168,5.581536844
2006,2.66681654,3.225944101,9.017595403,2.981444379,3.852374407,7.802794954,7.375303725
2005,3.344828838,3.392746845,5.961153657,4.088137478,6.195923258,6.3349527,5.018158087
2004,3.785669613,2.677236693,-1.265251595,1.082868533,-3.706906533,8.158174618,8.188283742
2003,2.806612543,2.270094973,12.13576475,-0.780469361,6.092662803,4.313471166,4.977608601
2002,1.786756241,1.586031627,18.76683559,8.509007957,6.683605532,5.338945576,5.461215089
2001,0.975341768,2.826171119,1.834292929,2.46538645,0.141864764,-1.175470502,1.858406037
2000,4.092525216,3.376857271,-4.257424341,2.593346311,2.96915991,5.786312092,5.533231651
1999,4.685100513,2.188027197,13.10630519,2.644759447,14.19567957,5.583155289,1.837293934
1998,4.449519253,1.552279099,3.008964678,2.992795496,17.07545112,7.234964164,5.946091445
1997,4.487264464,2.337689937,10.48021315,4.854348105,9.109042642,3.310721361,4.577976054
1996,3.795652003,2.9312042,4.219578221,2.576876869,10.24480861,5.104670525,2.593393702
1995,2.719728633,2.805419689,6.321531394,2.421568271,5.113332561,7.594817392,2.453277617
1994,4.03739103,2.607441592,1.041569818,2.540252876,-0.824532925,7.202753954,1.708764318
1993,2.745343492,2.951656966,30.68857091,1.421288092,10.90666356,3.019846009,-0.864119135
1992,3.555942962,3.028819678,73.12056669,6.292258322,6.66351107,-3.893751745,-2.541871985
1991,-0.073701843,4.234963965,7.602101208,1.242266487,4.394474857,-6.725765599,-2.704885336
1990,1.918874624,5.39795644,-2.585951052,-2.337124378,2.302091813,-2.745979405,-1.33734325
1989,3.680453124,4.82700303,-40.11947235,-0.174458032,8.047591698,1.40218845,-0.023921847
1988,4.20406758,4.077741107,750.452931,3.163705645,4.125022973,1.829087899,0.042989497
1987,3.461611857,3.664563218,-84.47482343,1.496054597,11.53437343,-0.645476829,-1.341360814
1986,3.512075641,1.898047722,-4.916159778,2.496732801,13.3773669,5.463719932,5.802612608
1985,4.238846946,3.545644152,11.99620557,8.018974271,13.11978267,4.200721399,4.209243344
1984,7.258539458,4.300535475,-0.457852916,6.242898277,9.240436332,9.771398938,2.14359795
1983,4.632354074,3.212435233,-3.532407839,3.022038569,11.74050385,4.105789932,4.65893953
1982,-1.910029164,6.131427,-4.54873487,5.78917515,8.463466137,1.874208534,1.155973553
